Project Name,Program Group,Borough,Postcode,Council District,Census Tract,NTA - Neighborhood Tabulation Area,Reporting Construction Type,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,Low Income Units,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units
PUTNAM,Multifamily Finance Program,Brooklyn,11233.0,41.0,383,BK35,Preservation,Non Prevailing Wage,0,1,6,8,0,8,8
1164 & 1168 GREENE AVENUE,Multifamily Incentives Program,Brooklyn,11221.0,34.0,419,BK78,New Construction,Non Prevailing Wage,0,0,4,4,0,4,20
984 HALSEY STREET APARTMENTS,Multifamily Incentives Program,Brooklyn,11207.0,37.0,401,BK78,New Construction,Non Prevailing Wage,0,0,0,3,0,3,8
Webster Ryer (aka Mid-Webster Renewal),Multifamily Finance Program,Bronx,10458.0,15.0,38302,BX40,Preservation,Non Prevailing Wage,0,0,8,8,0,8,8
TMN903 - Lemle & Wolff,Multifamily Finance Program,Manhattan,10027.0,9.0,208,MN03,Preservation,Non Prevailing Wage,0,24,0,25,0,25,25
THE LOIS,Multifamily Incentives Program,Brooklyn,11226.0,40.0,818,BK95,New Construction,Non Prevailing Wage,0,0,0,75,0,75,250
Bronx Brooklyn HDFC,Multifamily Finance Program,Bronx,10456.0,17.0,77,BX34,Preservation,Non Prevailing Wage,19,39,2,61,0,61,61
2015 Monterey Avenue LLC aka PRC Monterey,Multifamily Finance Program,Bronx,10457.0,15.0,37504,BX17,Preservation,Non Prevailing Wage,0,0,0,0,0,0,54
NEP Round 1 Mott Haven,Multifamily Finance Program,Bronx,10454.0,8.0,39,BX39,Preservation,Non Prevailing Wage,0,0,10,11,0,11,11
Elbee Gardens,Multifamily Finance Program,Staten Island,10304.0,50.0,50,SI14,Preservation,Non Prevailing Wage,0,0,177,178,0,178,178
Marcus Garvey Apartments (20140295),Multifamily Incentives Program,Brooklyn,11212.0,42.0,916,BK81,Preservation,Non Prevailing Wage,0,0,32,32,0,32,32
LOTT LEGACY APARTMENTS HDFC.YR15.FY2017,Multifamily Finance Program,Manhattan,10029.0,5.0,166,MN33,Preservation,Non Prevailing Wage,2,5,2,9,0,9,9
El Caribe Apartments,Multifamily Finance Program,Manhattan,10002.0,1.0,3601,MN27,Preservation,Non Prevailing Wage,0,0,13,13,0,13,13
VICTOR SANCHEZ HDFC.HRP.FY17,Multifamily Finance Program,Manhattan,10027.0,7.0,21303,MN06,Preservation,Non Prevailing Wage,0,8,10,18,0,18,18
MOUNT HOPE PRESERVATION APARTMENTS LLC.YR15.FY18,Multifamily Finance Program,Bronx,10453.0,14.0,241,BX41,Preservation,Non Prevailing Wage,3,17,24,45,0,45,45
ECDO TRANSFERS TO NYC JOE,Multifamily Finance Program,Manhattan,10027.0,9.0,20901,MN09,Preservation,Non Prevailing Wage,0,0,10,10,0,10,10
522 EVERGREEN AVENUE APARTMENTS,Multifamily Incentives Program,Brooklyn,11221.0,34.0,399,BK78,New Construction,Non Prevailing Wage,0,0,0,3,0,3,8
COOP CITY.HRP.FY20,Multifamily Finance Program,Bronx,10475.0,12.0,46201,BX13,Preservation,Non Prevailing Wage,0,95,55,0,150,150,150
1402 YORK AVENUE,Multifamily Incentives Program,Manhattan,10021.0,5.0,132,MN31,New Construction,Non Prevailing Wage,0,0,10,0,10,10,11
316 EAST 91ST STREET,Multifamily Incentives Program,Manhattan,10128.0,5.0,154,MN32,New Construction,Non Prevailing Wage,0,0,17,17,0,17,18
PROJECT HOSPITALITY. 221 PORT RICHMOND AVE,Multifamily Finance Program,Staten Island,10302.0,49.0,207,SI28,New Construction,Non Prevailing Wage,31,0,16,48,0,48,48
MARCUS GARVEY PHASE I-BUILDING B + D,Multifamily Incentives Program,Brooklyn,11212.0,41.0,924,BK81,New Construction,Non Prevailing Wage,1,64,30,95,0,95,96
FULTON PARK,Multifamily Incentives Program,Brooklyn,11233.0,36.0,299,BK61,Preservation,Non Prevailing Wage,0,3,0,3,0,3,3
HELP. 984 Woodycrest Avenue,Multifamily Finance Program,Bronx,10452.0,8.0,189,BX26,New Construction,Prevailing Wage,48,0,0,48,0,48,48
TMN904 - PRECISE,Multifamily Finance Program,Manhattan,10027.0,9.0,21303,MN06,Preservation,Non Prevailing Wage,0,8,47,56,0,56,56
Nehemiah Spring Creek Homes at Gateway Estates 4A,Small Homes Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,0,0,0,0,1,1,1
Genesis Year 15 Resyndication,Multifamily Finance Program,Manhattan,10027.0,9.0,215,MN03,Preservation,Non Prevailing Wage,0,0,8,9,0,9,9
HOPKINSON/PARK PLACE,Small Homes Program,Brooklyn,11233.0,41.0,363,BK79,New Construction,Non Prevailing Wage,0,0,10,0,10,10,10
9 SHERMAN ASSOCIATES LLC.PLP.FY19,Multifamily Finance Program,Manhattan,10040.0,10.0,285,MN35,Preservation,Non Prevailing Wage,5,42,37,92,0,92,92
2746 FULTON STREET,Multifamily Incentives Program,Brooklyn,11207.0,37.0,1198,BK82,New Construction,Non Prevailing Wage,0,0,0,3,0,3,9
Newport Gardens HDFC,Multifamily Incentives Program,Brooklyn,11212.0,42.0,916,BK81,Preservation,Non Prevailing Wage,0,0,12,12,0,12,12
SUTTER-GARDENS,Multifamily Incentives Program,Brooklyn,11207.0,42.0,1160,BK82,Preservation,Non Prevailing Wage,0,12,0,12,0,12,12
"FREEMAN CORNER APARTMENTS, THE",Multifamily Incentives Program,Brooklyn,11222.0,33.0,575,BK76,New Construction,Non Prevailing Wage,0,0,0,8,0,8,25
1766-68 SECOND AVENUE,Multifamily Incentives Program,Manhattan,10128.0,5.0,154,MN32,New Construction,Non Prevailing Wage,0,0,22,22,0,22,22
STRIVERS PLAZA II,Multifamily Finance Program,Manhattan,10030.0,9.0,228,MN03,Preservation,Non Prevailing Wage,0,0,8,8,0,8,8
2744 MATTHEWS AVENUE APARTMENTS,Multifamily Incentives Program,Bronx,10467.0,13.0,340,BX07,New Construction,Non Prevailing Wage,0,0,0,3,0,3,8
LINDEN PLAZA PRESERVATION LP.YR15.FY20,Multifamily Finance Program,Brooklyn,11208.0,42.0,1208,BK82,Preservation,Non Prevailing Wage,0,32,261,294,0,294,294
Marcus Garvey Apartments (20140295),Multifamily Incentives Program,Brooklyn,11212.0,42.0,916,BK81,Preservation,Non Prevailing Wage,0,0,6,6,0,6,6
Webster Ryer (aka Mid-Webster Renewal),Multifamily Finance Program,Bronx,10458.0,15.0,38302,BX40,Preservation,Non Prevailing Wage,0,0,8,8,0,8,8
GROWER-GREEN,Multifamily Incentives Program,Brooklyn,11211.0,34.0,513,BK73,Preservation,Non Prevailing Wage,24,7,0,35,0,35,35
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER I,Small Homes Program,Queens,11412.0,27.0,376,QN08,Preservation,Non Prevailing Wage,0,0,1,0,1,1,1
STARRETT CITY,Multifamily Incentives Program,Brooklyn,11239.0,42.0,105804,BK93,Preservation,Non Prevailing Wage,0,94,62,156,0,156,156
SPRING CREEK PHASE 4B-2,Multifamily Finance Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,0,0,8,8,0,8,8
PUTNAM,Multifamily Finance Program,Brooklyn,11221.0,36.0,385,BK35,Preservation,Non Prevailing Wage,0,2,1,4,0,4,4
ST. ANN'S APARTMENTS LLC.YR15.FY20,Multifamily Finance Program,Bronx,10454.0,8.0,2701,BX39,Preservation,Non Prevailing Wage,0,6,6,12,0,12,12
532 EAST 142ND STREET APARTMENTS,Multifamily Incentives Program,Bronx,10454.0,8.0,41,BX39,New Construction,Non Prevailing Wage,0,0,0,5,0,5,15
CANNON HEIGHTS INC,Multifamily Finance Program,Bronx,10463.0,11.0,279,BX28,Preservation,Non Prevailing Wage,0,170,0,0,171,171,171
COMUNILIFE. 1815 WEST FARMS ROAD,Multifamily Finance Program,Bronx,10460.0,17.0,161,BX75,New Construction,Non Prevailing Wage,80,0,0,81,0,81,81
JENKINS PORTFOLIO COMPANIES LLC.YR15.FY19,Multifamily Finance Program,Manhattan,10039.0,9.0,234,MN03,Preservation,Non Prevailing Wage,3,11,2,16,0,16,16
FULTON PARK,Multifamily Incentives Program,Brooklyn,11233.0,36.0,299,BK61,Preservation,Non Prevailing Wage,0,6,0,6,0,6,6
DIEGO BEEKMAN MHA.GHPP.FY18,Multifamily Finance Program,Bronx,10454.0,8.0,2702,BX39,Preservation,Non Prevailing Wage,17,2,15,34,0,34,34
MADISON COURT LIMITED PARTNERSHIP.HUDMF.FY17,Multifamily Finance Program,Queens,11369.0,21.0,361,QN27,Preservation,Non Prevailing Wage,38,13,16,69,0,69,69
EVERGREEN ESTATES,Multifamily Incentives Program,Bronx,10472.0,17.0,52,BX55,Preservation,Non Prevailing Wage,0,0,39,39,0,39,39
JOE CENTRAL BROOKLYN LLC.YR15.FY19,Multifamily Finance Program,Brooklyn,11216.0,36.0,245,BK75,Preservation,Non Prevailing Wage,0,3,0,3,0,3,3
Nehemiah Spring Creek Homes at Gateway Estates 4A,Small Homes Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,0,0,0,0,1,1,1
PACC ABCCD RESYNDICATION,Multifamily Finance Program,Brooklyn,11205.0,33.0,235,BK69,Preservation,Non Prevailing Wage,0,0,2,2,0,2,2
NCV HOPE LLC.PLP.FY19 (MOUNT HOPE RENAISSANCE),Multifamily Finance Program,Bronx,10457.0,16.0,22902,BX41,Preservation,Non Prevailing Wage,12,2,11,26,0,26,26
PACC ABCCD RESYNDICATION,Multifamily Finance Program,Brooklyn,11221.0,36.0,291,BK35,Preservation,Non Prevailing Wage,0,0,6,6,0,6,6
100 SUYDAM STREET,Multifamily Incentives Program,Brooklyn,11221.0,34.0,423,BK78,New Construction,Non Prevailing Wage,0,0,0,3,0,3,10
STAGG 2 - JUSTIN'S CORNER.HPO.FY19,Multifamily Finance Program,Bronx,10469.0,12.0,386,BX03,Preservation,Non Prevailing Wage,0,0,3,3,0,3,3
BRIDGE COMMUNITY,Multifamily Finance Program,Brooklyn,11233.0,41.0,381,BK61,Preservation,Non Prevailing Wage,0,4,4,8,0,8,8
FSG DEVELOPMENT FCM - FSG REALTY LLC,Multifamily Finance Program,Brooklyn,11238.0,35.0,231,BK69,Preservation,Non Prevailing Wage,4,0,4,8,0,8,8
MHANY East NY Partnership,Multifamily Finance Program,Brooklyn,11208.0,42.0,1196,BK82,Preservation,Non Prevailing Wage,0,0,3,3,0,3,3
SUTTER-GARDENS,Multifamily Incentives Program,Brooklyn,11207.0,42.0,1160,BK82,Preservation,Non Prevailing Wage,0,12,0,12,0,12,12
888 FOUNTAIN AVENUE BUILDING B3,Multifamily Finance Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,15,15,113,144,0,144,144
810 River,Multifamily Finance Program,Bronx,10451.0,8.0,63,BX63,New Construction,Non Prevailing Wage,0,22,84,134,0,134,134
Morrisania Portfolio,Multifamily Finance Program,Bronx,10456.0,16.0,17902,BX14,Preservation,Non Prevailing Wage,38,2,0,41,0,41,41
Stuy Town Peter Cooper Village,Multifamily Finance Program,Manhattan,10009.0,4.0,44,MN50,Preservation,Non Prevailing Wage,0,0,12,121,0,121,121
SOUTH BROOKLYN RENEWAL PERMANENT AFFORDABILITY,Multifamily Incentives Program,Brooklyn,11231.0,39.0,47,BK33,Preservation,Non Prevailing Wage,0,0,7,7,0,7,7
SUNSET GARDENS HDFC.HUDMF,Multifamily Finance Program,Brooklyn,11220.0,38.0,82,BK32,Preservation,Non Prevailing Wage,80,1,0,81,0,81,81
2 MT. HOPE PLACE,Multifamily Incentives Program,Bronx,10453.0,14.0,23301,BX41,New Construction,Non Prevailing Wage,0,17,17,40,0,40,164
775 Jennings St HDFC,Multifamily Finance Program,Bronx,10459.0,16.0,151,BX35,Preservation,Non Prevailing Wage,1,12,0,3,10,13,13
KINGS BAY HOUSING CO. INC. II,Multifamily Finance Program,Brooklyn,11235.0,48.0,596,BK17,Preservation,Non Prevailing Wage,135,0,0,0,135,135,135
Livonia Commons,Multifamily Finance Program,Brooklyn,11207.0,42.0,1130,BK85,New Construction,Non Prevailing Wage,0,89,0,90,0,90,90
STAGG 1 - AMANDA'S COVE.HPO.FY19,Multifamily Finance Program,Bronx,10469.0,12.0,46202,BX13,Preservation,Non Prevailing Wage,0,0,1,2,0,2,2
MOUNT HOPE PRESERVATION APARTMENTS LLC.YR15.FY18,Multifamily Finance Program,Bronx,10453.0,14.0,241,BX41,Preservation,Non Prevailing Wage,0,17,18,35,0,35,35
BUSHWICK PLACE VENTURE LLC,Multifamily Incentives Program,Brooklyn,11206.0,34.0,485,BK78,New Construction,Non Prevailing Wage,0,0,4,4,0,4,20
COOP CITY.HRP.FY20,Multifamily Finance Program,Bronx,10475.0,12.0,46201,BX13,Preservation,Non Prevailing Wage,0,153,54,0,207,207,207
STAGG 2 - JUSTIN'S CORNER.HPO.FY19,Multifamily Finance Program,Bronx,10467.0,12.0,396,BX44,Preservation,Non Prevailing Wage,0,0,8,8,0,8,8
73 STARR STREET APARTMENTS,Multifamily Incentives Program,Brooklyn,11237.0,34.0,427,BK77,New Construction,Non Prevailing Wage,0,0,0,8,0,8,24
LOTT LEGACY APARTMENTS HDFC.YR15.FY2017,Multifamily Finance Program,Manhattan,10029.0,8.0,178,MN34,Preservation,Non Prevailing Wage,0,5,5,11,0,11,11
495 ST. JOHNS PLACE,Multifamily Incentives Program,Brooklyn,11238.0,35.0,215,BK64,New Construction,Non Prevailing Wage,0,0,0,8,0,8,26
37A COOPER STREET,Multifamily Incentives Program,Brooklyn,11207.0,37.0,403,BK78,New Construction,Non Prevailing Wage,0,0,2,2,0,2,8
TLK Manor,Multifamily Finance Program,Bronx,10459.0,17.0,12901,BX33,New Construction,Non Prevailing Wage,7,0,31,38,0,38,38
STANLEY COMMONS,Multifamily Finance Program,Brooklyn,11207.0,42.0,1106,BK82,New Construction,Non Prevailing Wage,0,1,25,27,0,27,27
DIEGO BEEKMAN MHA.GHPP.FY18,Multifamily Finance Program,Bronx,10454.0,8.0,2702,BX39,Preservation,Non Prevailing Wage,23,11,17,53,0,53,53
PACC ABCCD RESYNDICATION,Multifamily Finance Program,Brooklyn,11216.0,36.0,227,BK69,Preservation,Non Prevailing Wage,0,0,6,6,0,6,6
MHANY DUMONT HDFC.PLP.FY19,Multifamily Finance Program,Brooklyn,11207.0,42.0,1120,BK82,Preservation,Non Prevailing Wage,0,0,6,6,0,6,6
Stuy Town Peter Cooper Village,Multifamily Finance Program,Manhattan,10010.0,4.0,60,MN50,Preservation,Non Prevailing Wage,0,0,6,53,0,53,53
1325 JEROME AVENUE,Multifamily Incentives Program,Bronx,10452.0,16.0,219,BX26,New Construction,Non Prevailing Wage,153,21,80,255,0,255,255
STAGG 1 - AMANDA'S COVE.HPO.FY19,Multifamily Finance Program,Bronx,10466.0,12.0,386,BX03,Preservation,Non Prevailing Wage,0,0,3,3,0,3,3
BILIG REALTY HDFC.HPO.FY18,Multifamily Finance Program,Bronx,10457.0,15.0,38301,BX40,Preservation,Non Prevailing Wage,0,3,16,21,0,21,21
Academy Gardens LLC,Multifamily Finance Program,Bronx,10473.0,18.0,20,BX09,Preservation,Non Prevailing Wage,61,0,0,61,0,61,61
CATHOLIC CHARITIES. 879 BECK STREET,Multifamily Finance Program,Bronx,10459.0,17.0,87,BX33,New Construction,Prevailing Wage,88,0,0,89,0,89,89
WIN. 21 WEST 118TH STREET,Multifamily Finance Program,Manhattan,10026.0,9.0,190,MN11,Preservation,Non Prevailing Wage,34,0,0,35,0,35,35
THE ROOSEVELT,Multifamily Incentives Program,Queens,11377.0,25.0,265,QN50,New Construction,Non Prevailing Wage,0,0,6,6,0,6,30
PROVIDENCE HOUSE. 178 HALSEY ST.AND 243 HANCOCK ST,Multifamily Finance Program,Brooklyn,11216.0,36.0,267,BK75,Preservation,Prevailing Wage,11,0,0,11,0,11,11
Stuy Town Peter Cooper Village,Multifamily Finance Program,Manhattan,10009.0,4.0,44,MN50,Preservation,Non Prevailing Wage,0,0,7,79,0,79,79
Morrisania Portfolio,Multifamily Finance Program,Bronx,10456.0,16.0,17901,BX14,Preservation,Non Prevailing Wage,29,2,3,34,0,34,34
785 DEKALB AVENUE,Multifamily Incentives Program,Brooklyn,11221.0,36.0,261,BK75,New Construction,Non Prevailing Wage,0,0,14,14,0,14,70
Nehemiah Spring Creek Homes at Gateway Estates 4A,Small Homes Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,0,0,0,0,1,1,1
LIVONIA PHASE II -SITE 9,Multifamily Finance Program,Brooklyn,11207.0,42.0,1132,BK85,New Construction,Non Prevailing Wage,15,8,33,57,0,57,57
PENN SOUTH,Multifamily Incentives Program,Manhattan,10001.0,3.0,97,MN13,Preservation,Non Prevailing Wage,57,53,51,0,301,301,378
FULTON PARK,Multifamily Incentives Program,Brooklyn,11233.0,36.0,299,BK61,Preservation,Non Prevailing Wage,0,6,0,6,0,6,6
DIEGO BEEKMAN MHA.GHPP.FY18,Multifamily Finance Program,Bronx,10454.0,8.0,2702,BX39,Preservation,Non Prevailing Wage,18,7,14,41,0,41,41
SOMERS APARTMENTS,Multifamily Incentives Program,Brooklyn,11233.0,37.0,369,BK79,New Construction,Non Prevailing Wage,0,0,0,4,0,4,24
HOPE EAST OF FIFTH HDFC INC.YR15.FY17,Multifamily Finance Program,Manhattan,10029.0,8.0,180,MN34,Preservation,Non Prevailing Wage,0,10,8,18,0,18,18
Aquinas Deacon Juan Santos HDFC,Multifamily Finance Program,Bronx,10460.0,17.0,363,BX17,Preservation,Non Prevailing Wage,34,0,0,35,0,35,35
MHANY 75,Multifamily Finance Program,Brooklyn,11207.0,37.0,411,BK78,Preservation,Non Prevailing Wage,0,4,0,4,0,4,4
310 GRAHAM AVENUE APARTMENTS,Multifamily Incentives Program,Brooklyn,11211.0,34.0,495,BK90,New Construction,Non Prevailing Wage,0,0,0,8,0,8,24
894/896/900 NEW YORK AVENUE,Multifamily Incentives Program,Brooklyn,11203.0,40.0,818,BK95,New Construction,Non Prevailing Wage,0,0,0,3,0,3,3
SPRING CREEK PHASE 4B-2,Multifamily Finance Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,2,1,5,8,0,8,8
Nehemiah Spring Creek Homes at Gateway Estates 4A,Small Homes Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,0,0,0,0,1,1,1
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER II,Small Homes Program,Queens,11435.0,28.0,198,QN01,Preservation,Non Prevailing Wage,0,0,1,0,1,1,1
JENKINS PORTFOLIO COMPANIES LLC.YR15.FY19,Multifamily Finance Program,Manhattan,10039.0,9.0,234,MN03,Preservation,Non Prevailing Wage,1,8,1,10,0,10,10
LANGSAM 1 - 135 W 183RD STREET.HPO.FY19,Multifamily Finance Program,Bronx,10453.0,14.0,255,BX30,Preservation,Non Prevailing Wage,1,5,45,52,0,52,52
Urban Strategies Apts,Multifamily Finance Program,Brooklyn,11233.0,37.0,369,BK79,Preservation,Non Prevailing Wage,0,0,7,7,0,7,7
SPRING CREEK PHASE 4B-2,Multifamily Finance Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,2,3,3,8,0,8,8
MMN1802 - CLOTH AMSTERDAM AVENUE,Multifamily Finance Program,Manhattan,10032.0,10.0,249,MN36,Preservation,Non Prevailing Wage,0,7,9,16,0,16,16
NCV HOPE LLC.PLP.FY19 (MOUNT HOPE RENAISSANCE),Multifamily Finance Program,Bronx,10453.0,14.0,22701,BX41,Preservation,Non Prevailing Wage,7,25,18,51,0,51,51
945-947 East 94th Street,Multifamily Finance Program,Brooklyn,11236.0,46.0,970,BK50,Preservation,Non Prevailing Wage,0,1,28,41,0,41,41
227 WINTHROP STREET APARTMENTS,Multifamily Incentives Program,Brooklyn,11225.0,40.0,802,BK60,New Construction,Non Prevailing Wage,0,0,0,3,0,3,8
COOP CITY.HRP.FY20,Multifamily Finance Program,Bronx,10475.0,12.0,46201,BX13,Preservation,Non Prevailing Wage,0,104,46,0,150,150,150
MHANY 75,Multifamily Finance Program,Brooklyn,11208.0,37.0,1192,BK82,Preservation,Non Prevailing Wage,0,8,0,8,0,8,8
1790 Clinton Avenue,Multifamily Finance Program,Bronx,10457.0,17.0,36902,BX17,Preservation,Non Prevailing Wage,16,0,11,27,0,27,27
491 Gerard Avenue,Multifamily Finance Program,Bronx,10451.0,8.0,63,BX63,New Construction,Non Prevailing Wage,23,0,130,153,0,153,153
Longfellow Avenue,Multifamily Finance Program,Bronx,10474.0,17.0,11502,BX27,Preservation,Non Prevailing Wage,0,4,48,73,0,73,73
Tahl-Propp - AIMCO,Multifamily Finance Program,Manhattan,10031.0,7.0,22302,MN06,Preservation,Non Prevailing Wage,0,24,0,24,0,24,24
MHANY 75,Multifamily Finance Program,Brooklyn,11207.0,42.0,1134,BK85,Preservation,Non Prevailing Wage,1,3,0,4,0,4,4
BLAKE/HENDRIX,Small Homes Program,Brooklyn,11207.0,42.0,1160,BK82,New Construction,Non Prevailing Wage,0,0,0,1,1,2,2
BUCKINGHAM - 2044 RICHMOND TERR - RESILIENCY,Multifamily Finance Program,Staten Island,10302.0,49.0,207,SI28,Preservation,Prevailing Wage,36,0,0,36,0,36,36
HP 109TH STREET HDFC.HUDMF.FY17,Multifamily Finance Program,Manhattan,10025.0,7.0,193,MN09,Preservation,Non Prevailing Wage,15,5,3,23,0,23,23
LENOX AVENUE CLUSTER (ANCP),Multifamily Finance Program,Manhattan,10037.0,9.0,208,MN03,Preservation,Non Prevailing Wage,0,0,0,0,3,3,3
EVERGREEN ESTATES,Multifamily Incentives Program,Bronx,10472.0,17.0,52,BX55,Preservation,Non Prevailing Wage,0,0,39,39,0,39,40
Marcus Garvey Apartments (20140295),Multifamily Incentives Program,Brooklyn,11212.0,42.0,916,BK81,Preservation,Non Prevailing Wage,0,0,4,4,0,4,4
LANGSAM 9 - 1630 MACOMBS ROAD.HPO.FY20,Multifamily Finance Program,Bronx,10453.0,14.0,21502,BX36,Preservation,Non Prevailing Wage,0,18,33,52,0,52,52
BOERUM RESIDENCE LLC,Multifamily Incentives Program,Brooklyn,11206.0,34.0,505,BK90,New Construction,Non Prevailing Wage,0,0,0,3,0,3,3
DESHLER APARTMENT,Multifamily Finance Program,Manhattan,10026.0,9.0,216,MN11,Preservation,Non Prevailing Wage,23,7,3,35,0,35,35
JOE CENTRAL BROOKLYN LLC.YR15.FY19,Multifamily Finance Program,Brooklyn,11238.0,35.0,231,BK69,Preservation,Non Prevailing Wage,1,5,0,6,0,6,6
HALSEY STREET APARTMENTS,Multifamily Incentives Program,Brooklyn,11233.0,36.0,383,BK35,New Construction,Non Prevailing Wage,0,0,0,3,0,3,10
JOE CENTRAL BROOKLYN LLC.YR15.FY19,Multifamily Finance Program,Brooklyn,11221.0,36.0,267,BK75,Preservation,Non Prevailing Wage,0,6,3,9,0,9,9
RED HOOK GARDENS-ARTICLE XI,Multifamily Incentives Program,Brooklyn,11231.0,38.0,53,BK33,Preservation,Non Prevailing Wage,2,0,0,2,0,2,2
WOODSTOCK TERRACE MUTUAL HOUSING CORP,Multifamily Finance Program,Bronx,10456.0,16.0,133,BX35,Preservation,Non Prevailing Wage,0,159,0,0,160,160,160
ZEVRONE REALTY HDFC.HPO.FY18,Multifamily Finance Program,Bronx,10456.0,16.0,149,BX35,Preservation,Non Prevailing Wage,5,9,33,48,0,48,48
MOUNT HOPE PRESERVATION APARTMENTS LLC.YR15.FY18,Multifamily Finance Program,Bronx,10453.0,14.0,22701,BX41,Preservation,Non Prevailing Wage,0,36,17,53,0,53,53
Concern Bergen (20126043),Multifamily Incentives Program,Brooklyn,11213.0,36.0,309,BK61,New Construction,Non Prevailing Wage,55,34,0,90,0,90,90
435 East 13th Street Apartments,Multifamily Incentives Program,Manhattan,10009.0,2.0,34,MN22,New Construction,Non Prevailing Wage,0,0,23,23,0,23,114
Edgecombe Preservation Reyndication (Phase),Multifamily Finance Program,Manhattan,10031.0,7.0,229,MN04,Preservation,Non Prevailing Wage,0,0,7,7,0,7,7
COOP CITY.HRP.FY20,Multifamily Finance Program,Bronx,10475.0,12.0,46201,BX13,Preservation,Non Prevailing Wage,0,111,64,0,175,175,175
STAGG 1 - AMANDA'S COVE.HPO.FY19,Multifamily Finance Program,Bronx,10475.0,12.0,46202,BX13,Preservation,Non Prevailing Wage,0,0,3,3,0,3,3
116 WALTON LLC,Multifamily Incentives Program,Brooklyn,11206.0,33.0,507,BK75,New Construction,Non Prevailing Wage,0,0,1,1,0,1,5
EL RIO II,Multifamily Incentives Program,Bronx,10460.0,15.0,361,BX17,New Construction,Non Prevailing Wage,46,0,32,78,0,78,78
APEX PLACE,Multifamily Finance Program,Queens,11375.0,29.0,745,QN17,New Construction,Non Prevailing Wage,11,23,23,115,0,115,115
810 FULTON STREET APARTMENTS PHASE II,Multifamily Incentives Program,Brooklyn,11238.0,35.0,199,BK69,New Construction,Non Prevailing Wage,0,0,0,37,0,37,363
1140 BUSHWICK AVENUE,Multifamily Incentives Program,Brooklyn,11221.0,34.0,397,BK78,New Construction,Non Prevailing Wage,0,0,0,3,0,3,8
GLASSWORKS APARTMENTS,Multifamily Incentives Program,Brooklyn,11237.0,37.0,443,BK77,New Construction,Non Prevailing Wage,0,0,0,19,0,19,63
MHANY 75,Multifamily Finance Program,Brooklyn,11216.0,36.0,313,BK61,Preservation,Non Prevailing Wage,0,8,0,8,0,8,8
DIEGO BEEKMAN MHA.GHPP.FY18,Multifamily Finance Program,Bronx,10454.0,8.0,33,BX39,Preservation,Non Prevailing Wage,18,8,15,43,0,43,43
TBX902 - Banana Kelly,Multifamily Finance Program,Bronx,10455.0,17.0,85,BX33,Preservation,Prevailing Wage,0,1,10,11,0,11,11
MONTAUK HOUSING LLC.HUDMF.FY18,Multifamily Finance Program,Queens,11412.0,27.0,366,QN08,Preservation,Non Prevailing Wage,7,0,0,7,0,7,7
ST. AUGUSTINE APARTMENTS,Multifamily Finance Program,Bronx,10456.0,16.0,185,BX35,New Construction,Non Prevailing Wage,35,12,64,112,0,112,112
152 EAST 116TH STREET,Multifamily Finance Program,Manhattan,10029.0,8.0,182,MN34,Preservation,Non Prevailing Wage,0,0,0,0,9,9,9
SUNSET PARK APARTMENTS HDFC.HUDMF.FY17,Multifamily Finance Program,Brooklyn,11220.0,38.0,98,BK34,Preservation,Non Prevailing Wage,14,1,0,16,0,16,16
