Project Name,Program Group,Borough,Postcode,Council District,Census Tract,NTA - Neighborhood Tabulation Area,Reporting Construction Type,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,Low Income Units,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units
RED HOOK GARDENS-ARTICLE XI,Multifamily Incentives Program,Brooklyn,11231.0,38.0,59,BK33,Preservation,Non Prevailing Wage,2,0,0,2,0,2,2
HP 451 EAST 116TH STREET HDFC. HPO.FY19,Multifamily Finance Program,Manhattan,10035.0,8.0,178,MN34,Preservation,Non Prevailing Wage,0,3,10,25,0,25,25
HELP. 771-775 CROTONA PARK NORTH,Multifamily Finance Program,Bronx,10457.0,17.0,163,BX99,New Construction,Prevailing Wage,83,0,0,84,0,84,84
CSH,Multifamily Finance Program,Brooklyn,11212.0,41.0,892,BK81,Preservation,Non Prevailing Wage,0,0,5,6,0,6,6
MHANY 75,Multifamily Finance Program,Brooklyn,11207.0,42.0,1126,BK85,Preservation,Non Prevailing Wage,0,3,0,3,0,3,3
Nehemiah Spring Creek Homes at Gateway Estates 4A,Small Homes Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,0,0,0,0,1,1,1
LOTT LEGACY APARTMENTS HDFC.YR15.FY2017,Multifamily Finance Program,Manhattan,10029.0,8.0,168,MN33,Preservation,Non Prevailing Wage,6,20,10,36,0,36,36
Madison EDJ LLC,Multifamily Finance Program,Brooklyn,11216.0,36.0,267,BK75,Preservation,Non Prevailing Wage,0,0,4,6,0,6,6
104 LINDEN BOULEVARD,Multifamily Incentives Program,Brooklyn,11226.0,40.0,822,BK60,New Construction,Non Prevailing Wage,0,0,0,5,0,5,10
HIGHBRIDGE CDC. 1448 PLIMPTON AVE. ARTSBRIDGE,Multifamily Finance Program,Bronx,10452.0,16.0,21302,BX26,New Construction,Prevailing Wage,61,0,0,62,0,62,62
WEST FARMS PRESERVATION HDFC.HPO.FY19,Multifamily Finance Program,Bronx,10457.0,17.0,36901,BX17,Preservation,Non Prevailing Wage,0,0,26,27,0,27,27
111 VARICK STREET,Multifamily Incentives Program,Manhattan,10013.0,3.0,37,MN24,New Construction,Non Prevailing Wage,0,3,22,25,0,25,100
BEDFORD UNION ARMORY,Multifamily Finance Program,Brooklyn,11225.0,35.0,323,BK63,New Construction,Non Prevailing Wage,9,12,39,60,0,60,60
BEC CONTINUUM HDFC.YR15.FY2017,Multifamily Finance Program,Brooklyn,11217.0,35.0,35,BK68,Preservation,Non Prevailing Wage,0,8,0,8,0,8,8
Tahl-Propp - AIMCO,Multifamily Finance Program,Manhattan,10031.0,7.0,22302,MN06,Preservation,Non Prevailing Wage,24,0,0,24,0,24,24
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER II,Small Homes Program,Queens,11420.0,28.0,814,QN55,Preservation,Non Prevailing Wage,0,0,1,0,1,1,1
HCCI 2,Multifamily Finance Program,Manhattan,10039.0,9.0,236,MN03,Preservation,Non Prevailing Wage,0,0,9,27,0,27,27
BEC CONTINUUM HDFC.YR15.FY2017,Multifamily Finance Program,Brooklyn,11216.0,35.0,219,BK61,Preservation,Non Prevailing Wage,1,1,6,8,0,8,8
BEC Phase 1,Multifamily Finance Program,Brooklyn,11206.0,36.0,253,BK75,Preservation,Non Prevailing Wage,0,1,15,16,0,16,16
Nehemiah Spring Creek Homes at Gateway Estates 4A,Small Homes Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,0,0,0,0,1,1,1
